name,hubble_type,dist_mpc,inc_deg,L36_GLsun,Reff_kpc,SBeff,Rdisk_kpc,MHI_GMsun,Vflat_kms,quality
UGC04278,7,9.51,90.0,1.307,2.46,34.11,2.21,1.116,91.4,1
UGC04305,10,3.45,40.0,0.736,1.23,76.71,1.16,0.69,34.5,3
UGC04325,9,9.6,41.0,2.026,2.79,41.0,1.86,0.678,90.9,1
UGC04483,10,3.34,58.0,0.013,0.26,29.71,0.18,0.032,,2
UGC04499,8,12.5,50.0,1.552,2.69,33.79,1.73,1.1,72.8,1
UGC05005,10,53.7,41.0,4.1,5.02,25.63,3.2,3.093,98.9,1
UGC05253,2,22.9,37.0,171.582,4.28,1488.78,8.07,16.396,213.7,2
UGC05414,10,9.4,55.0,1.123,2.33,32.87,1.47,0.574,,1
UGC05716,9,21.3,54.0,0.588,1.84,27.59,1.14,1.094,73.1,2
UGC05721,7,6.18,61.0,0.531,0.6,233.79,0.38,0.562,79.7,1
UGC05750,8,58.7,64.0,3.336,8.8,6.87,3.46,1.099,,1
UGC05764,10,7.47,60.0,0.085,1.2,9.31,1.17,0.163,,2
UGC05829,10,8.64,34.0,0.564,2.91,10.59,1.99,1.023,,2
UGC05918,10,7.66,46.0,0.233,2.63,5.36,1.66,0.297,,2
UGC05986,9,8.63,90.0,4.695,3.12,76.71,1.67,2.667,113.0,2
UGC05999,10,47.7,22.0,3.384,4.83,22.95,3.22,2.022,,2
UGC06399,9,18.0,75.0,2.296,3.45,30.82,2.05,0.674,85.0,1
UGC06446,7,12.0,51.0,0.988,2.06,37.05,1.49,1.379,82.2,1
UGC06614,1,88.7,36.0,124.35,3.68,1461.61,5.1,21.888,199.8,1
UGC06628,9,15.1,20.0,3.739,4.14,34.74,2.82,1.5,41.8,2
UGC06667,6,18.0,89.0,1.397,3.5,18.06,5.15,0.809,83.8,1
UGC06786,0,29.3,64.0,73.407,3.42,992.73,3.6,5.03,219.4,1
UGC06787,2,21.3,66.0,98.256,2.88,1891.6,5.37,5.03,248.1,2
UGC06818,9,18.0,75.0,1.588,2.12,56.08,1.39,1.079,71.2,2
UGC06917,9,18.0,56.0,6.832,4.52,53.07,2.76,2.023,108.7,1
UGC06923,10,18.0,65.0,2.89,1.66,166.28,1.44,0.809,79.6,2
UGC06930,7,18.0,32.0,8.932,4.38,73.93,3.94,3.237,107.2,1
UGC06973,2,18.0,71.0,53.87,1.61,3317.65,1.07,1.753,174.2,3
UGC06983,6,18.0,49.0,5.298,3.95,53.56,3.21,2.967,109.0,1
UGC07089,8,18.0,80.0,3.585,3.9,37.4,2.26,1.214,,2
